,itemid,shopid,name,brand,subcatid,cb_option,cmt_count,rating,ctime,flag,historical_sold,is_adult,is_official_shop,liked_count,price,discount,stock,show_free_shipping,shop_location,shopee_verified,can_use_bundle_deal,can_use_cod,catid
22,9812027476,42672129,Bàn Phím Có Dây Đèn Led G21 ADBLink Màu Trắng ( Chưa Bao Gồm Chuột ),No Brand,100644,0,167,4.6946107784431135,1611846296,65536,476,False,False,136,2800000000,,27,False,Hà Nội,True,False,True,110360
23,22069154031,740369190,"Bàn phím có dây dành cho văn phòng, game nhẹ giá rẻ",,100644,0,36,4.472222222222222,1685102646,196608,121,False,False,7,5900000000,40%,850,False,Hà Nội,False,False,True,110360
24,21375538288,886985032,"Bàn phím không dây mini kết nối bluetooth siêu nhỏ gọn cho cho IOS, Android, Windows, Tablets, Redmi, Huawei",,100644,0,200,4.785,1678334882,196608,821,False,False,227,13700000000,,38426,False,Hà Nội,False,False,True,110360
25,7463497895,280502774,[ BÁN R.Ẻ NHẤT ] Bàn Phím Chuột Giả Cơ Con Báo G21 PRO 2019 đèn LED 7 Màu Siêu Nét,No Brand,100644,0,2644,4.863086232980333,1605675217,65538,7861,False,False,1068,12500000000,24%,125,True,TP. Hồ Chí Minh,True,False,True,110360
26,22749088430,1024048334,Bàn phím cơ có dây USB máy tính để bàn chơi game văn phòng im lặng Bàn phím,,100644,0,0,0.0,1690010677,196608,0,False,False,3,15000000000,,12000,False,TP. Hồ Chí Minh,False,False,True,110360
27,5946253051,12208293,"Bàn Phím Cơ Máy Tính Crack K2 PRO Led RGB 10 Chế Độ Khác Nhau, Chơi Game Dùng Văn Phòng Cực Đã",XSmart,100644,0,12338,4.915476963011032,1597223221,65538,30456,False,False,12781,36500000000,45%,80,True,Hà Nội,True,False,True,110360
28,22274294107,136096670,Bàn phím giả cơ gaming XUNFOX K82 - Bàn phím chơi game thiết kế 94 phím có đèn led 7 màu kèm theo nút vặn âm lượng,,100644,0,4,5.0,1689826761,196608,13,False,False,13,19900000000,34%,10,False,TP. Hồ Chí Minh,True,False,True,110360
29,7168814235,228841194,Bàn phím máy tính k19 thiết kế sang trọng bắt mắt,,100644,0,1130,4.860053144375554,1607668020,65538,2762,False,False,3159,16000000000,25%,326,True,Hà Nội,True,False,True,110360
30,22447288811,530630511,Bàn Phím Cơ Aukey KM-G6 LED RGB Chính Hãng ACIE STORE,,100644,0,59,4.983050847457627,1688563268,196608,2604,False,True,6926,38500000000,36%,9978,False,Hà Nội,False,False,True,110360
31,22827005982,205254842,"Bàn phím giả cơ K200 YINOIAO 104 phím đèn led RGB xuyên chữ phím bấm nhạy thích hợp chơi game, văn phòng",,100644,0,42,4.976190476190476,1677159837,196608,171,False,False,151,19900000000,50%,117,False,TP. Hồ Chí Minh,True,False,True,110360
32,23143864774,7661171,Bàn phím máy tính gaming giả cơ YINDIAO PK100 có dây nút tròn Led RGB chống nước chuyên chơi game và làm việc văn phòng,,100644,0,28,4.964285714285714,1685332154,196608,98,False,False,21,10350000000,47%,1877,False,TP. Hồ Chí Minh,True,False,True,110360
33,17341702394,369729853,Bàn phím cơ không dây DAREU EK810G Black 104-Keys (Blue| Brown| Red D switch) - White Backlight,,100644,0,97,4.979381443298969,1649260869,131072,278,False,True,28,76000000000,41%,2662,False,Hà Nội,False,False,False,110360
34,8247016057,18585046,Bộ bàn phím không dây giả cơ & chuột MOFII Candy/Mini Basic,MOFII,100644,0,437,4.9588100686498855,1619166720,2,968,False,False,11201,56900000000,16%,300000,True,TP. Hồ Chí Minh,True,False,False,110360
35,22731739837,43572629,"Bàn Phím Số Cho Máy Tính⚡️Bàn Phím Phụ⚡️ Mềm, Nhạy, Bền⚡️* CTY MÁY TÍNH NGỌC ANH *bảo hành 6th",,100644,0,6,5.0,1678767176,196608,70,False,False,6,5500000000,27%,426,False,Hà Nội,True,False,True,110360
36,843639885,52679373,"Bàn phím không dây Bluetooth Logitech K380 - giảm ồn, gọn nhẹ, đa thiết bị, Mac/ PC",logitech,100644,0,6784,4.930902111324376,1516202455,65538,19314,False,True,20867,61900000000,10%,1317,True,TP. Hồ Chí Minh,False,False,True,110360
37,1078254882,63347190,BÀN PHÍM VĂN PHÒNG CAPTAIN 0509,,100644,0,26,4.461538461538462,1523953193,65538,147,False,False,7,5900000000,16%,456,True,Hà Nội,True,False,True,110360
38,3408121883,201936061,"Bàn phím cơ Gaming DAREU EK87 - Black (RED Led, Blue/ Brown/ Red D switch)",DAREU,100644,0,2244,4.897813476126729,1574397077,65538,5372,False,True,1978,49900000000,50%,3696,True,Hà Nội,False,False,True,110360
39,16543484083,583029821,Bộ bàn phím chơi game có dây kèm chuột máy tính với đèn LED 7 màu ấn tượng D320,,100644,0,722,4.729916897506925,1649470807,65536,3134,False,False,523,18000000000,28%,19956,False,Hà Nội,False,False,True,110360
40,15790801036,86399874,"TẶNG CHUỘT GAMING Bàn Phím Cơ G21 - Chuyên game - Có đèn LED 7 màu - Cho máy tính, laptop",,100644,0,61,4.721311475409836,1659637738,131072,317,False,False,659,12900000000,45%,9648,False,Nam Định,False,True,False,110360
41,13744853694,424997473,Bàn phím cơ tenkeyless K550 blue switch tùy chỉnh 7 chế độ led RGB,,100644,0,242,4.929752066115703,1636204324,0,644,False,False,362,32000000000,30%,33,False,TP. Hồ Chí Minh,True,False,False,110360
42,3038752656,275954723,Bàn Phím Siêu nhỏ gọn K1000 - Mini Keyboard Dùng cho laptop và PC,No Brand,100644,0,203,4.566502463054187,1619055886,65536,936,False,False,128,3000000000,47%,20704,False,Hà Nội,False,False,True,110360
43,991919963,60362125,Bộ Bàn Phím Và Chuột Không Dây Cao Cấp K03,No Brand,100644,0,917,4.735005452562705,1521276749,65538,2648,False,False,501,17000000000,,260,True,Hà Nội,True,False,True,110360
44,15968396447,131989706,"Bàn Phím Giả Cơ Chuyên Game G21/R260 Led 7 màu, Thiết Kế Đẹp Mắt",,100644,0,13,5.0,1648538223,65536,72,False,False,6,10500000000,49%,167,False,TP. Hồ Chí Minh,False,True,True,110360
45,11716545378,469040198,Bàn phím Logitech K120 - Bảo hành 36 tháng,,100644,0,463,4.9373650107991365,1625626966,65538,1624,False,True,143,15200000000,8%,2,True,TP. Hồ Chí Minh,False,False,True,110360
46,3500673700,5845862,Bàn phím G21 LED giả cơ game chuyên dụng,No Brand,100644,0,1506,4.697875166002656,1570521234,65536,4764,False,False,551,9300000000,45%,51,False,TP. Hồ Chí Minh,True,False,True,110360
47,23768766735,1000415654,"Bàn Phím Máy Tính RGB LED,Thiết kế chống nước và chống bụi Gaming Văn Phòng nâng cấp 61Phím 8 chế độ nhấp nháy ánh sáng",,100644,0,23,4.826086956521739,1684897443,196608,37,False,False,66,31000000000,55%,5,False,TP. Hồ Chí Minh,True,False,True,110360
48,8652675809,228841194,Bàn phím bluetooth không dây mini HP 10 inch/ chuột không dây cho điện thoại nhiều màu sắc tùy chọn,No Brand,100644,0,2317,4.732844195079845,1620443448,2,6981,False,False,4816,8500000000,49%,951,True,Hà Nội,True,False,False,110360
49,18274978010,457378832,Bàn Phím Cơ Máy Tính Trong Suốt Gaming Ziyou K75 LED Pro RGB White Switch Có HOTSWAP,,100644,0,41,4.853658536585366,1677746834,196608,107,False,True,631,94000000000,51%,80,False,Hà Nội,False,False,True,110360
50,13006221106,500118399,Bàn Phím Cơ Máy Tính Gaming K550 Pro Full Led 7 Chế Độ Hiêu Ứng,,100644,0,1285,4.845015576323988,1631113137,65536,3566,False,False,2453,31300000000,48%,1187,False,Hà Nội,True,False,True,110360
51,23403166788,880361533,Combo bàn phím không dây + chuột🌹,,100644,0,171,4.8654970760233915,1667201026,196608,492,False,False,594,25000000000,37%,194,False,TP. Hồ Chí Minh,True,False,True,110360
52,12483272767,607844422,Bàn phím cơ máy tính để bàn laptop chơi game chống thấm nước có dây kết nối USB trục màu xanh lá cây bề mặt kim loại ánh,,100644,0,1664,4.835336538461538,1647939975,65536,4758,False,False,1295,27900000000,45%,33688,False,TP. Hồ Chí Minh,False,False,True,110360
53,19853338386,878148504,"Bàn phím giả cơ LUNETA KB03, ánh sáng LED bắt mắt, nhiều màu sắc cá tính, thiết kế công thái học K500.",,100644,0,102,4.892156862745098,1665334089,196608,359,False,True,9480,15900000000,37%,60,False,Bình Dương,False,False,True,110360
54,2330535208,9099784,BÀN PHÍM LAPTOP ASUS P550L X550CA X550L X550LA X550LD X550 P550 X552 Chất lượng cao - Nhập Khẩu,No Brand,100644,0,139,4.920863309352518,1560932078,65538,355,False,False,25,11500000000,,171,True,Hà Nội,True,False,True,110360
55,19506742199,397528699,Bàn Phím Giả Cơ K600 Nút Tròn Led Xuyên Chữ Chuột G5/G15 Dùng Cho Máy Tính Laptop Chuyên Game Làm Việc Văn Phòng Giá  Rẻ,,100644,0,666,4.872372372372372,1653909480,65536,2142,False,False,1303,6900000000,44%,814,False,Hà Nội,True,False,True,110360
56,13557675098,611590039,Bàn phím máy tính Bàn phím cơ LEAVEN K550 Punk 87 phím Hiệu ứng ánh sáng RGB bàn phím cơ gaming,,100644,0,412,4.924757281553398,1638695323,0,845,False,False,559,39000000000,19%,59516,False,Hà Nội,False,False,False,110360
57,14459113230,268182642,"Bàn phím máy tính gaming giả cơ Sidotech SP100 nút tròn Led RGB chống nước chuyên chơi game, làm việc văn phòng",,100644,0,534,4.820224719101123,1646201213,65536,1361,False,True,462,15900000000,41%,295,False,Hà Nội,False,False,True,110360
58,10598715700,232780266,Bàn Phím Cơ Không Dây Bluetooth K68 Red Switch Gõ Cực Êm - Hai Chế Độ Kết Nối - Bảo Hành 12 Tháng,,100644,0,115,4.886956521739131,1669994318,196608,393,False,False,348,43000000000,39%,1654,False,Hà Nội,True,False,True,110360
59,19434573006,12208293,"Bàn Phím Giả Cơ Máy Tính Gaming LED 7 Màu K-Snak4 Có Dây, Chống Nước Chơi Game",,100644,0,1009,4.735381565906838,1660540108,196608,3431,False,False,748,14900000000,34%,1510,False,Hà Nội,True,False,True,110360
