,itemid,shopid,name,brand,subcatid,cb_option,cmt_count,rating,ctime,flag,historical_sold,is_adult,is_official_shop,liked_count,price,discount,stock,show_free_shipping,shop_location,shopee_verified,can_use_bundle_deal,can_use_cod,catid
22,19591441499,1030238490,"Micro thu âm cài áo cho Điện thoại, Máy tính, Máy quay phim Lavalier Microphone",,100535,0,0,0.0,1690892849,196608,0,False,False,0,4900000000,,20,False,Bình Dương,False,False,True,110360
23,22650027219,464453964,"Bộ Sound Card K300 Bluetooth, Mic Thu Âm BM900 Trọn Bộ (Không Gồm Chân Mic)",,100535,0,0,0.0,1690879316,196608,0,False,False,0,74800000000,46%,20624,False,Thái Nguyên,True,False,True,110360
24,23671196602,173864482,"Micro Thu Âm Không Dây K9, Lọc Âm Khử Tiếng Ồn, Nhỏ Gọn, Cài Áo - HiTech",,100535,0,124,5.0,1686928401,196608,432,False,True,11587,19000000000,37%,799,False,TP. Hồ Chí Minh,False,True,True,110360
25,21475789961,960789963,Micro Karaoke Bluetooth JBL KMC500 - Chất âm cực hay - Pin sạc dung lượng cao  - Bộ lọc chống ồn - Bảo hành 12 tháng,,100535,0,23,5.0,1678531929,196608,31,False,False,4,26900000000,50%,40,False,TP. Hồ Chí Minh,True,False,True,110360
26,20062446549,644496128,Micro Karaoke Bluetooth Cầm Tay WS-900 Nâng Giọng Cực Chất Kiêm Loa Bluetooth Kết Nối 2 Mic Song Ca Âm Thanh Siêu Đỉnh,,100535,0,56,4.553571428571429,1668477551,196608,979,False,False,35,32500000000,50%,20573,False,Hà Nội,False,False,True,110360
27,20891318578,533021378,Micro Karaoke Bluetooth SD08 Cấm Tay - Giá Cực Rẻ - Hát Karaoke Cực Đã - Kết Nối Với Các Thiết Bị Có Bluetooth,,100535,0,0,0.0,1690538348,131072,0,False,False,1,100000000,,9755228,False,TP. Hồ Chí Minh,False,False,False,110360
28,19187978333,501838526,Bộ 2 micro thu âm không dây cài áo K9 khử tiếng ồn để livestream ghi âm phát trực tiếp quay video Chính Hãng DL TECH,,100535,0,537,4.7218045112781954,1682067903,196608,3480,False,True,427,14000000000,52%,19,False,Hà Nội,False,False,True,110360
29,22674991370,812169015,"Mic thu âm GM7, Mic livestream có màng lọc tiếng ồn, lọc tạp âm, Micro sử dụng cho PC-Laptop-Điện thoại có đèn led",,100535,0,20,5.0,1690360314,196608,68,False,False,1,20900000000,50%,824,False,Hà Nội,True,False,True,110360
30,23747987350,1010901824,"micro hát karaoke sennheiser/e845 S/e945,micro có dây,micro karaoke có dây,giọng hát rõ và tràn đầy",,100535,0,2,5.0,1689244306,196608,4,False,False,2,22500000000,50%,771,False,Bắc Ninh,False,False,True,110360
31,15597697606,1010901824,"micro hát karaoke không dây,shuer/BLXD6 microphone wireless,micro không dây cao cấp chống hú",,100535,0,38,5.0,1687163272,196608,43,False,False,41,56900000000,50%,1117,False,Bắc Ninh,False,False,True,110360
