,id,title,link,description,box_price_present,box_price_old,box_price_percent,rating,cmt_count
22,297026,Điện thoại vivo V27e,https://www.thegioididong.com/dtdd/vivo-v27e,"vivo V27e một trong những chiếc điện thoại tầm trung nổi bật của vivo trong năm 2023. Với thiết kế độc đáo và khả năng chụp ảnh - quay phim ấn tượng, vì thế máy đã mang lại cho vivo nhiều niềm tự hào khi ra mắt tại thị trường Việt Nam, hứa hẹn mang đến trải nghiệm tuyệt vời đến với người dùng.",8.990.000₫ ,,,4.4,34.0
23,301642,Điện thoại OPPO Reno8 T 5G 256GB,https://www.thegioididong.com/dtdd/oppo-reno8-t-5g-256gb,"Tiếp nối sự thành công rực rỡ đến từ các thế hệ trước đó thì chiếc OPPO Reno8 T 5G 256GB cuối cùng đã được giới thiệu chính thức tại Việt Nam, được định hình là dòng sản phẩm thuộc phân khúc tầm trung với camera 108 MP, con chip Snapdragon 695 cùng kiểu dáng thiết kế mặt lưng và màn hình bo cong hết sức nổi bật.",10.990.000₫ ,,,3.9,79.0
24,301641,Điện thoại OPPO Reno8 T 5G 128GB,https://www.thegioididong.com/dtdd/oppo-reno8-t-5g,"OPPO Reno8 T 5G 128GB là mẫu điện thoại đầu tiên trong năm 2023 mà OPPO kinh doanh tại Việt Nam. Máy nhận được khá nhiều sự quan tâm đến từ cộng đồng công nghệ về thông số kỹ thuật hết sức ấn tượng như: Camera 108 MP, chipset nhà Qualcomm và màn hình AMOLED.",9.290.000₫ ,9.990.000₫,-7%,4.0,93.0
25,301603,Điện thoại realme C55 6GB,https://www.thegioididong.com/dtdd/realme-c55,"realme C55 là mẫu máy giá rẻ được mở bán chính thức tại thị trường Việt Nam vào tháng 03/2023. Điện thoại dành được khá nhiều sự quan tâm của đông đảo người dùng khi mở bán với mức giá hấp dẫn, trang bị cấu hình tốt, camera AI 64 MP, màn hình lớn cùng khả năng sạc pin siêu nhanh.","
                        <span>từ</span>
                    4.290.000₫ *
                ",4.990.000₫,-14%,4.4,148.0
26,304090,Điện thoại realme C55 8GB,https://www.thegioididong.com/dtdd/realme-c55-8gb,"realme C55 8GB mẫu điện thoại mới đến từ nhà realme, sở hữu bộ thông số khá ấn tượng. Máy mang trong mình một thiết kế đẹp mắt, hiệu năng ổn định cùng khả năng chụp ảnh chi tiết hứa hẹn sẽ không làm bạn thất vọng.","
                        <span>từ</span>
                    5.190.000₫ *
                ",5.990.000₫,-13%,4.3,122.0
27,249948,Điện thoại Samsung Galaxy S23 Ultra 5G 256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra,"Samsung Galaxy S23 Ultra 5G 256GB là chiếc smartphone cao cấp nhất của nhà Samsung, sở hữu cấu hình không tưởng với con chip khủng được Qualcomm tối ưu riêng cho dòng Galaxy và camera lên đến 200 MP, xứng danh là chiếc flagship Android được mong đợi nhất trong năm 2023.",26.990.000₫ ,31.990.000₫,-15%,4.5,57.0
28,301796,Điện thoại Samsung Galaxy S23 Ultra 5G 512GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra-5g-512gb,"Samsung Galaxy S23 Ultra 5G 512GB là một sản phẩm công nghệ không còn xa lạ với những người yêu công nghệ. Máy vừa được giới thiệu với nhiều tính năng và công nghệ nổi bật, đánh dấu một bước tiến đột phá của Samsung trong năm 2023, nhằm tạo nên một thương hiệu hàng đầu trong ngành.",29.990.000₫ ,36.990.000₫,-18%,4.7,70.0
29,301797,Điện thoại Samsung Galaxy S23 5G Ultra 1TB,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra-5g-1tb,"Sau gần một năm chờ đợi thì siêu phẩm Samsung Galaxy S23 Ultra 5G 1TB cuối cùng cũng đã chính thức lộ diện với hàng loạt công nghệ dẫn đầu ngành điện thoại, nổi bật trong số đó chính là con chip Snapdragon 8 Gen 2 for Galaxy, camera 200 MP và đi kèm với bút S Pen tích hợp để bạn có thể thoải mái vẽ vời hay ghi chú một cách nhanh chóng.",35.990.000₫ ,44.990.000₫,-20%,4.7,10.0
30,303583,Điện thoại Samsung Galaxy A34 5G 128GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a34-5g-128gb,"Được giới thiệu vào tháng 03/2023, Samsung Galaxy A34 5G 128GB là một lựa chọn đáng chú ý trong thị trường điện thoại Android tầm trung. Với kết nối 5G tiên tiến và hiệu suất đáng tin cậy, sản phẩm hứa hẹn mang lại trải nghiệm mượt mà và thú vị cho người dùng.",7.490.000₫ ,8.490.000₫,-11%,4.4,237.0
31,298377,Điện thoại Samsung Galaxy A34 5G 256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a34,"Samsung Galaxy A34 5G là mẫu điện thoại mới thuộc phân khúc tầm trung được nhà Samsung cho ra mắt vào tháng 03/2023. Với sự kết hợp hoàn hảo giữa vẻ ngoài cuốn hút với cấu hình mạnh mẽ, chiếc máy là sự lựa chọn hoàn hảo đáp ứng tốt nhu cầu sử dụng của đa dạng đối tượng người dùng hiện nay.",9.490.000₫ ,,,4.0,80.0
32,240259,Điện thoại iPhone 14 128GB,https://www.thegioididong.com/dtdd/iphone-14,"iPhone 14 128GB được xem là mẫu smartphone bùng nổ của nhà táo trong năm 2022, ấn tượng với ngoại hình trẻ trung, màn hình chất lượng đi kèm với những cải tiến về hệ điều hành và thuật toán xử lý hình ảnh, giúp máy trở thành cái tên thu hút được đông đảo người dùng quan tâm tại thời điểm ra mắt.","
                        <span>từ</span>
                    19.090.000₫ 
                ",21.990.000₫,-13%,4.5,102.0
33,289663,Điện thoại iPhone 14 256GB,https://www.thegioididong.com/dtdd/iphone-14-256gb,"Mới đây thì tại sự kiện ra mắt sản phẩm mới thường niên đến từ nhà Apple thì chiếc điện thoại iPhone 14 256GB cũng đã chính thức lộ diện, thiết bị được nâng cấp toàn diện từ camera cho đến hiệu năng và hầu hết là những thông số hàng đầu trong giới smartphone. ",22.290.000₫ ,24.990.000₫,-10%,4.5,31.0
34,291697,Điện thoại vivo Y16 64GB,https://www.thegioididong.com/dtdd/vivo-y16-64gb,"vivo Y16 64GB tiếp tục sẽ là cái tên được hãng bổ sung cho bộ sưu tập điện thoại vivo dòng Y trong thời điểm cuối năm 2022, với mục tiêu mang đến nhiều trải nghiệm tốt hơn đối với dòng sản phẩm giá rẻ, vivo hứa hẹn sẽ mang lại cho người dùng những trải nghiệm vượt xa mong đợi nhờ việc trang bị nhiều công nghệ xịn sò.",3.590.000₫ ,3.990.000₫,-10%,4.2,52.0
