,id,title,link,description,box_price_present,box_price_old,rating,cmt_count,category,discount
70,258047.0,Điện thoại Samsung Galaxy Z Flip4 5G 128GB,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip4,"Samsung Galaxy Z Flip4 128GB đã chính thức ra mắt thị trường công nghệ, đánh dấu sự trở lại của Samsung trên con đường định hướng người dùng về sự tiện lợi trên những chiếc điện thoại gập. Với độ bền được gia tăng cùng kiểu thiết kế đẹp mắt giúp Flip4 trở thành một trong những tâm điểm sáng giá cho nửa cuối năm 2022.",15990000,23990000,4.4,77,Điện thoại,33
72,285696.0,Điện thoại Samsung Galaxy Z Flip4 5G 512GB,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip4-5g-512gb,"Mới đây tại sự kiện Unpacked 2022 toàn cầu diễn ra ngày 10/08 thì chiếc Samsung Galaxy Z Flip4 512GB cũng đã chính thức lộ diện với một vẻ ngoài cuốn hút đầy bắt mắt. Máy được nâng cấp độ bền so với thế hệ cũ nhờ sử dụng nhiều vật liệu cao cấp để chế tạo, từ đó làm tăng mức độ uy tín giúp người dùng có thể an tâm trang bị và sử dụng trong thời gian dài.",19990000,29490000,4.4,31,Điện thoại,32
73,213031.0,Điện thoại iPhone 12 64GB,https://www.thegioididong.com/dtdd/iphone-12,"Trong những tháng cuối năm 2020, Apple đã chính thức giới thiệu đến người dùng cũng như iFan thế hệ iPhone 12 series mới với hàng loạt tính năng bứt phá, thiết kế được lột xác hoàn toàn, hiệu năng đầy mạnh mẽ và một trong số đó chính là iPhone 12 64GB.",15490000,17990000,4.2,306,Điện thoại,13
74,228736.0,Điện thoại iPhone 12 128GB,https://www.thegioididong.com/dtdd/iphone-12-128gb,"Apple đã trình diện đến người dùng mẫu điện thoại iPhone 12 128GB với sự tuyên bố về một kỷ nguyên mới của iPhone 5G, nâng cấp về màn hình và hiệu năng hứa hẹn đây sẽ là smartphone cao cấp đáng để mọi người đầu tư sở hữu. ",16490000,18990000,4.4,164,Điện thoại,13
76,236187.0,Điện thoại OPPO Reno6 Pro 5G,https://www.thegioididong.com/dtdd/oppo-reno6-pro-5g,"OPPO Reno6 Pro 5G - một sản phẩm thuộc dòng Reno6 của OPPO, thỏa mãn những gì người tiêu dùng đã trông đợi với cấu hình khủng cùng hệ thống camera cực ấn tượng và ngoại hình bắt mắt, thật hào hứng mong chờ để được trải nghiệm.",13990000,13990000,4.4,59,Điện thoại,0
80,282389.0,Điện thoại vivo V25 Pro 5G,https://www.thegioididong.com/dtdd/vivo-v25-pro-5g,"vivo V25 Pro 5G vừa được ra mắt với một mức giá bán cực kỳ hấp dẫn, thế mạnh của máy thuộc về phần hiệu năng nhờ trang bị con chip MediaTek Dimensity 1300 và cụm camera sắc nét 64 MP, hứa hẹn mang lại cho người dùng những trải nghiệm ổn định trong suốt quá trình sử dụng.",9990000,13990000,4.2,37,Điện thoại,28
82,303585.0,Điện thoại Samsung Galaxy A54 5G 128GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a54-5g-128gb,"Samsung Galaxy A54 5G 128GB là mẫu điện thoại tầm trung hiện đang làm mưa làm gió tại thị trường Việt Nam khi sở hữu những thông số ấn tượng với chip hiệu năng cao, màn hình chất lượng đi cùng hệ thống camera xịn sò trong phân khúc.",9490000,10490000,4.1,147,Điện thoại,9
83,250103.0,Điện thoại Samsung Galaxy A54 5G 256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a54,"Samsung Galaxy A54 5G là mẫu điện thoại thông minh trong phân khúc tầm trung vừa được hãng cho ra mắt vào tháng 03/2023, máy trang bị màn hình Super AMOLED cùng con chip Exynos 1380 tiên tiến do chính Samsung sản xuất.",9990000,11490000,4.3,116,Điện thoại,13
84,278886.0,Điện thoại Xiaomi Redmi Note 12 Pro 5G,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-12-pro-5g,"Xiaomi Redmi Note 12 Pro 5G mẫu điện thoại tầm trung được kỳ vọng sẽ trở thành sản phẩm quốc dân trong năm 2023, nhờ sở hữu khá nhiều sự nâng cấp với camera 50 MP, chip MediaTek mạnh mẽ cùng ngôn ngữ thiết kế mới vô cùng tối giản, hiện đại.",8990000,9490000,4.1,90,Điện thoại,5
85,307891.0,Điện thoại OPPO A98 5G,https://www.thegioididong.com/dtdd/oppo-a98-5g,"Những mẫu điện thoại OPPO cho ra mắt thời gian gần đây (2023) có vẻ ngoài đẹp mắt phù hợp với thị hiếu người tiêu dùng hiện nay. Trong đó OPPO A98 5G mẫu điện thoại mới của điện thoại OPPO A, với lối thiết kế hiện đại, màn hình hiển thị chi tiết thông tin cũng như một hiệu năng ổn định.",8990000,8990000,4.5,194,Điện thoại,0
87,299248.0,Điện thoại OPPO Reno8 T,https://www.thegioididong.com/dtdd/oppo-reno8-t,"OPPO Reno8 T là một trong những mẫu điện thoại vừa được nhà OPPO tung ra thị trường vào dịp đầu năm 2023 với nhiều thay đổi ấn tượng, trong đó nổi bật nhất có lẽ là ống kính camera 100 MP, đi cùng lối thiết kế trẻ trung đẹp mắt, hứa hẹn sẽ thu hút bạn ngay từ cái nhìn đầu tiên.",8490000,8490000,3.9,52,Điện thoại,0
88,271717.0,Điện thoại OPPO Reno7 Z 5G,https://www.thegioididong.com/dtdd/oppo-reno7-z,"OPPO đã trình làng mẫu Reno7 Z 5G với thiết kế OPPO Glow độc quyền, camera mang hiệu ứng như máy DSLR chuyên nghiệp cùng viền sáng kép, máy có một cấu hình mạnh mẽ và đạt chứng nhận xếp hạng A về độ mượt.",7490000,7490000,4.0,140,Điện thoại,0
89,251964.0,Điện thoại OPPO Reno7 Pro 5G,https://www.thegioididong.com/dtdd/oppo-reno7-pro,"OPPO Reno7 Pro 5G trình làng với một thiết kế mới lạ đầy bắt mắt, hiệu năng ổn định cùng khả năng chụp ảnh - quay video cực kỳ chất lượng nhờ những nâng cấp đáng giá về thuật toán xử lý trên cảm biến chính IMX766 đến từ Sony.",11990000,11990000,4.1,55,Điện thoại,0
90,247361.0,Điện thoại OPPO Reno7 5G,https://www.thegioididong.com/dtdd/oppo-reno7,"Tiếp nối sự thành công của dòng sản phẩm Reno, OPPO cho ra mắt Reno7 5G với cải tiến đáng kể về phần camera, sở hữu một thiết kế bắt mắt cùng một hiệu năng mạnh mẽ giúp bạn có được những trải nghiệm vô cùng tuyệt vời trên mọi tác vụ. ",7990000,7990000,4.2,94,Điện thoại,0
91,299734.0,Điện thoại Xiaomi Redmi Note 12 Pro 128GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-12-pro-4g,"Xiaomi Redmi Note 12 Pro 4G tiếp tục sẽ là mẫu điện thoại tầm trung được nhà Xiaomi giới thiệu đến thị trường Việt Nam trong năm 2023, máy nổi bật với camera 108 MP chất lượng, thiết kế viền mỏng cùng hiệu năng đột phá nhờ trang bị chip Snapdragon 732G.",7190000,7190000,4.2,125,Điện thoại,0
92,306774.0,Điện thoại Xiaomi Redmi Note 12 Pro 256GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-12-pro-4g-256gb,"Mới đây nhà Xiaomi cũng đã tiếp tục cho ra mắt mẫu điện thoại mới của mình trong năm 2023 với tên gọi Xiaomi Redmi Note 12 Pro 4G 256GB. Được định hình là dòng sản phẩm thuộc phân khúc tầm trung, sở hữu nhiều ưu điểm về thiết kế, hiệu năng Snapdragon 732G cùng hệ thống 4 ống kính đa dụng.",7690000,7990000,4.2,43,Điện thoại,3
94,292780.0,Điện thoại OPPO A77s,https://www.thegioididong.com/dtdd/oppo-a77s,"OPPO vừa cho ra mắt mẫu điện thoại tầm trung mới với tên gọi OPPO A77s, máy sở hữu màn hình lớn, thiết kế đẹp mắt, hiệu năng ổn định cùng khả năng mở rộng RAM lên đến 8 GB vô cùng nổi bật trong phân khúc.",6290000,6290000,4.2,140,Điện thoại,0
95,273335.0,Điện thoại Xiaomi Redmi Note 12S,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-12s,"Xiaomi Redmi Note 12S sẽ là chiếc điện thoại tiếp theo được nhà Xiaomi tung ra thị trường Việt Nam trong thời gian tới (05/2023). Điện thoại sở hữu một lối thiết kế hiện đại, màn hình hiển thị chi tiết đi cùng với đó là một hiệu năng mượt mà xử lý tốt các tác vụ.",6190000,6690000,4.0,33,Điện thoại,7
96,274381.0,Điện thoại OPPO A96,https://www.thegioididong.com/dtdd/oppo-a96-4g,"OPPO A96 là cái tên được nhắc đến khá nhiều trên các diễn đàn công nghệ hiện nay, nhờ sở hữu một ngoại hình hết sức bắt mắt cùng hàng loạt các thông số ấn tượng trong phân khúc giá như hiệu năng cao, camera chụp ảnh sắc nét.",6190000,6990000,4.2,131,Điện thoại,11
97,286697.0,Điện thoại vivo Y35,https://www.thegioididong.com/dtdd/vivo-y35-2022,"vivo Y35 là một chiếc điện thoại tầm trung đáng chú ý được ra mắt vào tháng 10/2022, máy nổi bật nhờ sở hữu thiết kế đẹp, khả năng sạc nhanh cùng cấu hình ổn trong phân khúc, ngoài ra camera với độ phân giải lên đến 50 MP cũng là điểm cộng dành cho chiếc máy này.",5990000,6990000,4.3,70,Điện thoại,14
98,246199.0,Điện thoại Samsung Galaxy A33 5G 6GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a33,"Samsung Galaxy A33 5G 6GB ra mắt vào ngày 04/2022, được xem là bản cập nhật khá lớn so với thế hệ tiền nhiệm Galaxy A32 về thiết kế đến thông số kỹ thuật bên trong, nhằm mang đến vẻ ngoài đẹp mắt cũng như cạnh tranh trực tiếp ở phần hiệu năng đối với các đối thủ cùng phân khúc giá.",5490000,7290000,3.7,314,Điện thoại,24
99,278949.0,Điện thoại vivo Y55,https://www.thegioididong.com/dtdd/vivo-y55-2022,"vivo Y55 là một cái tên sáng giá dành cho những ai đang muốn chọn mua một chiếc điện thoại phục vụ việc chơi game nhờ cấu hình ổn định trên mức giá phải chăng, kèm với đó là khả năng chụp ảnh sắc nét hỗ trợ bạn trong các công việc nhiếp ảnh cực kỳ dễ dàng.",5340000,5340000,4.3,75,Điện thoại,0
100,253137.0,Điện thoại vivo T1x,https://www.thegioididong.com/dtdd/vivo-t1x,"vivo vừa mới tung ra thị trường điện thoại vivo T1x đây là mẫu smartphone gaming tầm trung với hàng loạt những điểm nổi bật khi mang trong mình con chip Snapdragon 680 có một hiệu năng ổn định, vẻ ngoài trẻ trung đi cùng với bộ ba camera chất lượng mang đến trải nghiệm tối ưu cho người dùng.",5290000,5290000,4.4,31,Điện thoại,0
101,270360.0,Điện thoại OPPO A76,https://www.thegioididong.com/dtdd/oppo-a76-4g,"OPPO A76 4G ra mắt với thiết kế trẻ trung, hiệu năng ổn định, màn hình 90 Hz mượt mà cùng viên pin trâu cho thời gian sử dụng lâu dài phù hợp cho mọi đối tượng người dùng.",5190000,5990000,4.3,153,Điện thoại,13
103,296239.0,Điện thoại Samsung Galaxy A23 5G 6GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a23-5g-6gb,"Samsung Galaxy A23 5G 6GB - một phiên bản nâng cấp từ điện thoại A23 4G vừa mới ra mắt vào thời gian không lâu trước đó. Điện thoại sở hữu bộ vi xử lý ổn định kèm tính năng 5G hiện đại mang đến trải nghiệm mượt mà, cụm camera đem đến những bức ảnh chất lượng và viên pin lớn cho bạn thời gian trải nghiệm dài lâu.",5490000,6290000,4.1,85,Điện thoại,12
105,274359.0,Điện thoại Samsung Galaxy A23 6GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a23-6gb,"Được Samsung cho ra mắt vào 03/2022 - Samsung Galaxy A23 6GB có một thiết kế trẻ trung cùng bộ thông số kỹ thuật khá ấn tượng trong tầm giá, đáp ứng nhu cầu sử dụng cả ngày một cách ổn định nhờ trang bị chipset đến từ nhà Qualcomm và một viên pin dung lượng khủng.",5390000,6190000,3.8,364,Điện thoại,12
107,306785.0,Điện thoại realme C53,https://www.thegioididong.com/dtdd/realme-c53,"realme C53 - chiếc điện thoại giá rẻ với thiết kế đẹp, màn hình lớn và camera sắc nét, thực sự là một lựa chọn hợp lý dành cho người dùng khi đang băn khoăn tìm mua một thiết bị trong phân khúc giá rẻ.",4290000,4290000,4.4,366,Điện thoại,0
108,307556.0,Điện thoại Xiaomi Redmi 12 4GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-12-4gb,"Xiaomi Redmi 12 mẫu điện thoại mới nhất được nhà Xiaomi tung ra vào tháng 06/2023 khiến cho cộng đồng đam mê công nghệ vô cùng thích thú. Máy khoác lên mình một vẻ ngoài cá tính, màn hình lớn đem đến trải nghiệm đã mắt cùng một hiệu năng ổn định với mọi tác vụ.",4290000,4290000,4.4,392,Điện thoại,0
109,307245.0,Điện thoại Xiaomi Redmi 12 8GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-12,"Xiaomi Redmi 12 - chiếc điện thoại giá rẻ với thiết kế tinh tế, màn hình lớn cùng camera sắc nét và tích hợp vi xử lý MediaTek Helio G88 mạnh mẽ trong phân khúc. Sản phẩm sẽ là sự lựa chọn lý tưởng cho những người muốn trải nghiệm công nghệ tiên tiến với mức giá phải chăng.",4790000,4790000,4.4,984,Điện thoại,0
110,282090.0,Điện thoại OPPO A57 64GB,https://www.thegioididong.com/dtdd/oppo-a57-4g,"Điện thoại OPPO A57 64GB vừa mới ra mắt đã tạo ấn tượng tích cực với cộng đồng yêu công nghệ. Sở hữu cho mình một thiết kế trẻ trung, hiệu năng mượt mà đáp ứng tốt nhu cầu cơ bản hằng ngày.",4090000,4090000,4.1,101,Điện thoại,0
111,285082.0,Điện thoại OPPO A57 128GB,https://www.thegioididong.com/dtdd/oppo-a57-128gb,"OPPO đã bổ sung thêm vào dòng sản phẩm OPPO A giá rẻ một thiết bị mới có tên OPPO A57 128GB. Khác với mẫu A57 5G đã được ra mắt trước đó, điện thoại dòng A mới có màn hình HD+, camera chính 13 MP và pin 5000 mAh.",4390000,4990000,4.1,282,Điện thoại,12
112,288401.0,Điện thoại OPPO A17,https://www.thegioididong.com/dtdd/oppo-a17,"OPPO A17 là mẫu điện thoại thuộc phân khúc giá rẻ, máy thu hút nhiều sự chú ý khi sở hữu cấu hình tốt, thiết kế đẹp cùng mức giá bán phải chăng, hứa hẹn mang lại nhiều trải nghiệm tốt “đáng tiền hơn giá tiền”.",3990000,3990000,4.3,89,Điện thoại,0
