,item_id,cmt_id,username,rating,comment
911,302532,r-54473897,Phạm Tuyết Nhung,5,Sản phẩm rất tốt 👍
912,302532,r-54473415,Lê Văn Tứ,5,"Mấy ổn, giá sinh viên"
913,302532,r-54397463,Anh Vương,4,"Sản phẩm đang trải nghiệm,"
914,302532,r-54091488,Bình,4,Tốt
915,302532,r-54055077,Chị Thuỷ,4,"Pin nhanh hết quá ,mở 2 tiếng hết sạch pin ạ,"
916,302532,r-54019668,Anh Phan,5,Ok
917,302532,r-53998439,Điện,5,Tốt
918,302532,r-53973214,Chị Thuỷ,5,Hài lòng về sản phẩm
919,302532,r-53964421,Em Nhi,4,ok
920,302532,r-53961731,Hà My,3,Dùng ổn
921,302532,r-53938893,Chị Nguyệt,5,Nhân viên rất nhiệt tình khi tư vấn
922,302532,r-53930553,NGUYỄN THỊ THU THẢO,5,San phẩm này rất  tot
923,302532,r-54643699,Vững,4,
924,302532,r-54399048,Nguyễn Thanh Huyền,5,
925,302532,r-54249724,Chị Phụng,4,ok
926,302532,r-54215372,Anh Hậu,5,
927,302532,r-53961031,Phan Thị Việt,5,
928,302532,r-53938795,Vân,5,
929,302532,r-53750961,Nguyễn Trọng Mến,3,
930,303562,r-54955495,Trần Thị Thuỳ Liên,5,Sp ok nhe
931,303562,r-54654497,Anh Kiên,4,Ok
932,303562,r-54654018,Tran Minh Chau,3,Mới mua nên hiện tại chưa đánh giá khách quan được!
933,303562,r-54609363,CÔNG TY TNHH DỊCH VỤ VÀ DU LỊCH ABC,5,Tốt
934,303562,r-54560134,CÔNG TY CỔ PHẦN ONEPHARM,5,Máy dùng tốt
935,303562,r-54535777,Anh Công,5,Tốt
936,303562,r-54425458,Mỹ,5,Hài lòng
937,303562,r-54384883,Anh Tú,4,Tốt
938,303562,r-54351392,Thành,4,Tạm ổn
939,303562,r-54317446,Anh Vinh,5,Sp tốt
940,303562,r-54248288,Em Mỹ Hạnh,5,"Sp tốt phù hợp cho mọi cá nhân sử dụng học tập ,làm việc đều ổn nha. Màn hình to xem phim rất đã."
941,303562,r-54181238,Nguyễn Hữu Đức,3,"Màn TN tiết kiệm điện nhưng hiển thị hơi ít màu . Chip ryzen  5 mượt khi sử dụng tác vụ văn phòng nhưng chơi game hơi yếu
. Ram 8g khá lớn nhueng không thể tăng ram tóm lại ok trong tầm giá"
942,303562,r-54116682,Nguyễn Văn Thư,3,Vừa mới mua xong được 1 tuần mà đã giảm 800k giá. Không biết chương trình khuyến mại ra sao luôn í
943,303562,r-54089456,Phương,4,tuy nhiên dung lượng hơi ít
944,303562,r-54067761,Anh Hợi,2,"Máy ko mở đc file excel, ppt trong ổ cứng di động, đã mang máy ra ĐMX nhưng k đc"
945,303562,r-54067605,Anh Tuấn,3,Màn hình chưa đẹp lắm
946,303562,r-54041698,Phượng,5,Tốt
947,303562,r-54022729,Hậu,4,"Sản phầm dùng rất tốt , nhưng màu sắc màn hình không được tốt lắm, ngả màu hơi bạc dùng lâu rất đau mắt"
948,303562,r-54019056,Dương Đắc Nhã,4,Cũng chưa trải nghiệm nhiều
949,303562,r-54017609,Nam,4,ok
950,303562,r-54003631,Anh Hoàn,5,ok
951,303562,r-53996138,Chị Nguyệt,4,Nhân viên tư vấn thân thiện chăm sóc khách hàng tốt
