,item_id,cmt_id,username,rating,comment
699,240254,r-52801461,Nguyễn Ngọc Hồng Đoan,1,Máy mua sài được 1 năm .xem youtobe bị lag .lâu lâu bị đứng khi xem video 4k .samsung tệ vl .biết thế mua realmi  rẻ hơn nhiều .đi mua hàng thì nhân viên nhanh lắm chứ đi bảo hành là lâu như gì
700,240254,r-52721543,HÙNG,3,Lau lau nó bị dăn mạng
701,240254,r-52720909,HẢO,4,Tốt
702,240254,r-52698130,TÀI,5,Rất tốt
703,240254,r-52672864,DUY,5,Ok
704,240254,r-52664820,PHÁT,5,Rất tốt
705,240254,r-52519287,Phạm Thị Lan Hương,5,"Mới mua được 1 tuần, nhìn chung mình mua để tiện việc VP là chính nhưng máy chạy game, xem phim hay lướt web đều rất mượt, nét. Mình mua hàng tại chi nhánh tyển đường thông nhất, rất hài lòng với chất luwongj phục vụ của các bạn NV hôm đó, đặc biệt là bạn nam tên Ngàn (xin lỗi nếu mình nhớ sai tên :( ) và bạn nữ tên Nở đã làm hồ sơ thanh toán cho mình."
706,240254,r-52482990,thao chi,5,"Mới mua sáng nay, nhân viên nhiệt tình, xài mượt. Thank các bạn tgdđ gần chợ củ chi."
707,240254,r-52446823,SƠN,5,"Máy hơi nặng, nhưng dùng rất thích."
708,240254,r-52300077,Trần Đinh Tuấn,4,"Pin trâu , loa hay, thiết kế cứng căp, phù hợp cho giải trí, công việc nhẹ"
709,240254,r-52240202,Chú Thanh,4,"Đã mua một số sản phẩm tại Điện máy Xanh, vì rất tin vào chế độ bảo hành có nhiều người tín nhiệm mà ĐMX thực hiện.
Đã mua Samsung GLX Tab S7 FE 4G, bếp Ma ma ( hồng ngoại và từ ), máy ép quả, máy xay quả...
Nhưng hiện bếp Mama bị sự cố trong thời gian bảo hành, ( đã có nhân viên đến kiểm tra sản phẩm ) gia đinh đã báo với cửa hàng vẫn đang chờ được xử lý để có sản phẩm sử dụng. Cám ơn ĐMX đã hỏi ý kiến."
710,240254,r-52238157,Nguyễn Văn Năm,3,sạc pin hơi lâu
711,240254,r-52238117,Anh Minh,4,khá tốt
712,240254,r-52174967,ĐÔNG,5,Ok... may rat tot...
713,240254,r-52078810,LINH,4,Tốt
714,240254,r-52037623,TRI,5,"Máy tính tính bảng sử dụng tốt, rất hài lòng"
715,240254,r-51978401,MINH,4,hàng tốt
716,240254,r-51932869,Ý,5,Phù hợp với túi tiền
717,240254,r-51923118,YẾN,5,Ok máy tốt
718,240254,r-51886265,TRANG,5,"Máy chạy mượt , rất thích"
719,240254,r-51843038,KHIÊM,1,Vừa mua về sạc lần đầu đã ko vào. Phải đi bảo hành tại trung tâm samsung. Bảo hành thì chậm trể. Sạc ko vào thì báo lỗi hư màng hình. Thua!
720,240254,r-51526895,Nguyên Luan,5,"Sử dụng được 8 tháng máy sử dụng không có vấn đề gì, cám ơn nhà sản xuất tôi rất hài lòng"
721,240254,r-50877857,Hằng Lê,4,"Ngoài màn hình lớn ra,thì mọi thứ đều bình thường. Bắt sóng hơi kém, gọi zalo nói chuyện rất khó nghe. Được cái ngoại hình nhìn rất đẹp."
722,240254,r-50808672,Tô Anh Thơ,5,"Sau 1 thời gian sử dụng thì máy vẫn tốt.
Có điều kn Wifi hơi kém."
723,240254,r-50647270,Lê Thành Nguyễn,5,Cái mắt kế camera trước và bên trái là gì vậy nhỉ? Không biết dán cường lực có sao ko?
724,240254,r-50504606,Lê Tuấn Dũng,4,"Mình có mua tab S7fe 4g sử dụng trải nghiệm được 2 tháng , tgdd thu mua lại giá bao nhiêu , phụ kiện hộp đầy đủ"
725,240254,r-50324428,E Loan,5,"Nhân viên rất nhiệt tình, thân thiện. Hàng xài rất là ok luôn. Chất lượng rất ổn."
726,240254,r-50253791,Nguyen manh Nam,4,Mình mua được gần 2 tháng muốn bán lại mà bị thiếu mất cục sạc có bán lại đk ko?
727,240254,r-50127769,Nguyễn Sơn Giang,5,"Sản phẩm tốt như mong muốn, nhân viên tư vấn nhiệt tình, vui vẻ. Sẽ tiếp tục ủng hộ tgdđ"
